SHAC.SunICRF.X            SHAC.SunICRF.Y            SHAC.SunICRF.Z            SHAC.ElapsedDays          
-28888915.75370379        -674535944.6530292        -288140897.897593         156.7740932211891         
-27854603.38832518        -679171450.1016959        -290123645.6640329        157.8729409781881         
-26928993.40839744        -683318194.404596         -291897338.5426776        158.8562424388292         
-26099722.79774225        -687032168.535495         -293485925.9203039        159.7371556249636         
-25355762.81801857        -690363222.9457717        -294910730.6417087        160.5274138732639         
-24687485.18648469        -693354812.4766573        -296190339.6198751        161.237257472123          
-24086509.25717048        -696044712.6952393        -297340910.506032         161.8755975690874         
-23545390.69654988        -698466437.3587999        -298376778.1715995        162.4503480000931         
-23057609.90409121        -700649307.9195976        -299310484.4562552        162.9684383678104         
-22617462.04324327        -702618959.1020678        -300152994.359709         163.4359314047688         
-22219733.84556155        -704398795.1955539        -300914318.9112188        163.8583666313934         
-21860031.39270134        -706008530.7855746        -301602890.9379992        164.2404124841778         
-21498208.46886151        -707627881.7303083        -302295586.2096533        164.6247097878004         
-21206668.63671169        -708932824.0617225        -302853799.708449         164.9343582229485         
-20913049.45637709        -710247263.7626514        -303416088.0037301        165.2462151130821         
-20675358.70917384        -711311517.5062368        -303871364.0663806        165.4986694969266         
-20436296.83682445        -712382131.9076191        -304329375.3341311        165.7525796188129         
-20220074.77675392        -713350703.51232          -304743748.7168328        165.9822301536115         
-20025313.58266118        -714223388.4515815        -305117117.596572         166.1890850107375         
-19849515.4520939         -715011352.4209806        -305454258.6032386        166.3757963584358         
-19690860.62147005        -715722722.7102672        -305758648.5486929        166.5442961633889         
-19547419.35413797        -716366120.4626864        -306033975.7141845        166.6966331461008         
-19458116.7116712         -716766817.6877036        -306205458.3631659        166.791470368531          
