SHAC.SunICRF.X            SHAC.SunICRF.Y            SHAC.SunICRF.Z            SHAC.Sun.RMAG             SHAC.SunICRF.VMAG         SHAC.SunICRF.FPA          SHAC.Sun.ECC              SHAC.Sun.SMA              SHAC.ElapsedDays          
-139158956.1330386        46256782.01396134         20057288.13073155         148010809.6102554         66.80375179519292         103.2021749097575         3.878795556236227         -49715072.06716868        0.1457486165963928        
-139163640.7642812        46220172.04663651         20041656.50591945         148001659.4849255         66.80361367886377         103.1899542068199         3.878657594042643         -49717480.62957639        0.1526930610416457        
-139168323.3790219        46183561.91683951         20026024.80421517         147992517.6923266         66.80355912597513         103.177744906974          3.87853164127447          -49719679.83293228        0.1596375054868986        
-139173003.9741969        46146951.58080368         20010393.00720785         147983384.2149374         66.80357759604425         103.1655454771868         3.878416193831979         -49721695.85980231        0.1665819499321515        
-139177682.5470215        46110341.0001938          19994761.09876929         147974259.0375451         66.80366023789227         103.1533546207637         3.878309988832649         -49723550.69972276        0.1735263943774044        
-139182359.0949508        46073730.14125524         19979129.06469671         147965142.1468883         66.80379956416868         103.1411712335376         3.878211958107448         -49725262.95645688        0.1804708388153813        
-139187033.6156801        46037118.97404282         19963496.89238792         147956033.5313671         66.80398919834741         103.1289943694266         3.878121192058471         -49726848.47563318        0.1874152832606342        
-139191706.1070501        46000507.47201847         19947864.57067453         147946933.1808017         66.80422367602613         103.1168232131789         3.878036911277464         -49728320.83776554        0.1943597277058871        
-139196376.5670909        45963895.61142406         19932232.08955638         147937841.0862386         66.80449828742334         103.1046570584989         3.87795844405347          -49729691.74911962        0.2013041721511399        
-139201044.9939677        45927283.37097632         19916599.44007434         147928757.239784          66.80480895141783         103.0924952904636         3.877885208386367         -49730971.35435453        0.2082486165963928        
-139205711.3859717        45890670.73152769         19900966.61416772         147919681.6344672         66.80515211401037         103.0803373712208         3.877816697489987         -49732168.48858422        0.2151930610416457        
-139210375.7415045        45854057.67579499         19885333.60456011         147910614.2641245         66.80552466585246         103.0681828282925         3.877752468018741         -49733290.88213601        0.2221375054868986        
-139215038.0590731        45817444.1881135          19869700.40465589         147901555.123301          66.80592387479197         103.0560312449424         3.877692130439184         -49734345.32804668        0.2290819499321515        
-139219698.3372519        45780830.25430653         19854067.00848621         147892504.2071656         66.80634733033503         103.0438822522167         3.877635341102891         -49735337.81998768        0.2360263943774044        
-139224356.5747069        45744215.86143732         19838433.41060361         147883461.5114411         66.80679289764812         103.0317355222786         3.877581795682302         -49736273.6665097         0.2429708388153813        
-139229012.7701878        45707600.99766567         19822799.60602173         147874427.032342          66.80725867923265         103.0195907628433         3.877531223701624         -49737157.58624259        0.2499152832606342        
-139233666.9224869        45670985.65220511         19807165.59019842         147865400.7665198         66.8077429828174          103.0074477125133         3.877483383955043         -49737993.78765849        0.2568597277058871        
-139238319.030467         45634369.81513478         19791531.35895543         147856382.7110183         66.80824429433437         102.9953061367944         3.877438060651316         -49738786.03621274        0.2638041721511399        
